status file for recon-all
Wed Jan  3 18:20:47 UTC 2018
#@# MotionCor Wed Jan  3 18:20:54 UTC 2018
#@# Talairach Wed Jan  3 18:21:10 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 18:23:50 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 18:23:50 UTC 2018
#@# Intensity Normalization Wed Jan  3 18:28:38 UTC 2018
#@# Skull Stripping Wed Jan  3 18:32:07 UTC 2018
#@# EM Registration Wed Jan  3 19:07:10 UTC 2018
#@# CA Normalize Wed Jan  3 19:42:28 UTC 2018
#@# CA Reg Wed Jan  3 19:45:30 UTC 2018
#@# SubCort Seg Thu Jan  4 01:01:11 UTC 2018
#@# Merge ASeg Thu Jan  4 03:12:42 UTC 2018
#@# Intensity Normalization2 Thu Jan  4 03:12:42 UTC 2018
#@# Mask BFS Thu Jan  4 03:20:49 UTC 2018
#@# WM Segmentation Thu Jan  4 03:20:55 UTC 2018
#@# Fill Thu Jan  4 03:25:48 UTC 2018
#@# Tessellate lh Thu Jan  4 03:27:38 UTC 2018
#@# Tessellate rh Thu Jan  4 03:27:53 UTC 2018
#@# Smooth1 lh Thu Jan  4 03:28:08 UTC 2018
#@# Smooth1 rh Thu Jan  4 03:28:18 UTC 2018
#@# Inflation1 lh Thu Jan  4 03:28:28 UTC 2018
#@# Inflation1 rh Thu Jan  4 03:29:32 UTC 2018
#@# QSphere lh Thu Jan  4 03:30:41 UTC 2018
#@# QSphere rh Thu Jan  4 03:37:50 UTC 2018
#@# Fix Topology Copy lh Thu Jan  4 03:44:34 UTC 2018
#@# Fix Topology Copy rh Thu Jan  4 03:44:34 UTC 2018
#@# Fix Topology lh Thu Jan  4 03:44:34 UTC 2018
#@# Fix Topology rh Thu Jan  4 05:07:06 UTC 2018
#@# Make White Surf lh Thu Jan  4 06:49:48 UTC 2018
#@# Make White Surf rh Thu Jan  4 06:59:37 UTC 2018
#@# Smooth2 lh Thu Jan  4 07:09:27 UTC 2018
#@# Smooth2 rh Thu Jan  4 07:09:37 UTC 2018
#@# Inflation2 lh Thu Jan  4 07:09:47 UTC 2018
#@# Inflation2 rh Thu Jan  4 07:10:48 UTC 2018
#@# Curv .H and .K lh Thu Jan  4 07:11:47 UTC 2018
#@# Curv .H and .K rh Thu Jan  4 07:14:14 UTC 2018
#@# Curvature Stats lh Thu Jan  4 07:16:38 UTC 2018
#@# Curvature Stats rh Thu Jan  4 07:16:46 UTC 2018
#@# Sphere lh Thu Jan  4 07:16:52 UTC 2018
#@# Sphere rh Thu Jan  4 08:26:22 UTC 2018
#@# Surf Reg lh Thu Jan  4 10:03:47 UTC 2018
#@# Surf Reg rh Thu Jan  4 11:34:24 UTC 2018
#@# Jacobian white lh Thu Jan  4 13:06:15 UTC 2018
#@# Jacobian white rh Thu Jan  4 13:06:19 UTC 2018
#@# AvgCurv lh Thu Jan  4 13:06:22 UTC 2018
#@# AvgCurv rh Thu Jan  4 13:06:25 UTC 2018
#@# Cortical Parc lh Thu Jan  4 13:06:29 UTC 2018
#@# Cortical Parc rh Thu Jan  4 13:06:56 UTC 2018
#@# Make Pial Surf lh Thu Jan  4 13:07:25 UTC 2018
#@# Make Pial Surf rh Thu Jan  4 13:37:22 UTC 2018
#@# Surf Volume lh Thu Jan  4 14:07:51 UTC 2018
#@# Surf Volume rh Thu Jan  4 14:07:58 UTC 2018
#@# Cortical ribbon mask Thu Jan  4 14:08:04 UTC 2018
#@# Parcellation Stats lh Thu Jan  4 14:34:21 UTC 2018
#@# Parcellation Stats rh Thu Jan  4 14:37:15 UTC 2018
#@# Cortical Parc 2 lh Thu Jan  4 14:40:04 UTC 2018
#@# Cortical Parc 2 rh Thu Jan  4 14:40:45 UTC 2018
#@# Parcellation Stats 2 lh Thu Jan  4 14:41:26 UTC 2018
#@# Parcellation Stats 2 rh Thu Jan  4 14:43:03 UTC 2018
#@# Cortical Parc 3 lh Thu Jan  4 14:44:38 UTC 2018
#@# Cortical Parc 3 rh Thu Jan  4 14:45:14 UTC 2018
#@# Parcellation Stats 3 lh Thu Jan  4 14:45:49 UTC 2018
#@# Parcellation Stats 3 rh Thu Jan  4 14:47:21 UTC 2018
#@# WM/GM Contrast lh Thu Jan  4 14:48:50 UTC 2018
#@# WM/GM Contrast rh Thu Jan  4 14:49:03 UTC 2018
#@# Relabel Hypointensities Thu Jan  4 14:49:16 UTC 2018
#@# AParc-to-ASeg aparc Thu Jan  4 14:50:17 UTC 2018
#@# AParc-to-ASeg a2009s Thu Jan  4 15:04:41 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Jan  4 15:18:45 UTC 2018
#@# APas-to-ASeg Thu Jan  4 15:32:58 UTC 2018
#@# ASeg Stats Thu Jan  4 15:33:16 UTC 2018
#@# WMParc Thu Jan  4 15:45:44 UTC 2018
#@# BA_exvivo Labels lh Thu Jan  4 16:19:13 UTC 2018
#@# BA_exvivo Labels rh Thu Jan  4 16:29:46 UTC 2018
recon-all -s 3353 finished without error at Thu Jan  4 16:39:50 UTC 2018
